"num" "sf" "shift" "Temp" "LM" "MW" "C" "N" "Rh" "O" "cansmi" "envlab" "ref"
"1" "RhMan0925-CMP1" "C21H18BF18Rh" "-939" 298 "CD2Cl2" 726.0553776 21 0 1 0 "CC(C12C3([Rh]4567892(C1(C(F)(F)F)C5(C34C(F)(F)F)C(F)(F)F)C1(C8(C7(C6(C91C)C)C)C)C)C(F)(F)F)(F)F.F[B](F)(F)F" "C1C1C1C1C1C1C1C1C1C1" "https://doi.org/10.1021/jacs.5c09718"
"2" "RhMan0925-CMP2" "C41H48CoF14Rh" "1474" 193 "THF-d8" 968.636164800001 41 0 1 0 "CC(C12C3([Rh]4567892(C1(C(F)(F)F)C5(C34C(F)(F)F)C(F)(F)F)C1(C8(C7(C6(C91C)C)C)C)C)C(F)(F)F)(F)F.CC12C3(C)C4(C5(C1(C)[Co]16782345C2(C)C1(C)C7(C8(C62C)C)C)C)C" "C1C1C1C1C1C1C1C1C1C1" "https://doi.org/10.1021/jacs.5c09718"
"3" "RhMan0925-CMP13" "C16H27O6Rh" "8338" 295 "CDCl3" 418.28748 16 0 1 6 "COC(/C=C(\O[Rh]12(OC(C)C=C(O2)C)OC(C)C=C(O1)C)/C)C" "O1O1O1O1O1" "https://doi.org/10.5194/mr-5-121-2024"
"4" "RhMan0925-CMP14" "C52H49F6NO4P4RhS2" "-283" 298 "THF-d8" 1156.8707232 52 1 1 4 "c1ccc(cc1)P1(CP([Rh]21P(CP2(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1)c1ccccc1.FC(S(=O)(=O)NS(=O)(=O)C(F)(F)F)(F)F" "P1P1P1P1" "https://doi.org/10.1002/anie.202408356"
"5" "RhMan0925-CMP15" "C54H53F6NO4P4RhS2" "-1084" 298 "THF-d8" 1184.9238832 54 1 1 4 "c1ccc(cc1)P1(CCP([Rh]21P(CCP2(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1)c1ccccc1.FC(S(=O)(=O)NS(=O)(=O)C(F)(F)F)(F)F" "P1P1P1P1" "https://doi.org/10.1002/anie.202408356"
"6" "RhMan0925-CMP16" "C56H57F6NO4P4RhS2" "-486" 298 "THF-d8" 1212.9770432 56 1 1 4 "C1CP(c2ccccc2)(c2ccccc2)[Rh]2(P(C1)(c1ccccc1)c1ccccc1)P(CCCP2(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1.FC(S(=O)(=O)NS(=O)(=O)C(F)(F)F)(F)F" "P1P1P1P1" "https://doi.org/10.1002/anie.202408356"
"7" "RhMan0925-CMP17" "C58H61F6NO4P4RhS2" "-298" 333 "THF-d8" 1241.0302032 58 1 1 4 "C1CCP([Rh]2(P(C1)(c1ccccc1)c1ccccc1)P(CCCCP2(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1.FC(S(=O)(=O)NS(=O)(=O)C(F)(F)F)(F)F" "P1P1P1P1" "https://doi.org/10.1002/anie.202408356"
"8" "RhMan0925-CMP18" "C62H45F30NO4P4RhS2" "-1064" 298 "THF-d8" 1728.90764 62 1 1 4 "FC(S(=O)(=O)NS(=O)(=O)C(F)(F)F)(F)F.FC(c1ccc(cc1)P1(CCP([Rh]21P(CCP2(c1ccc(cc1)C(F)(F)F)c1ccc(cc1)C(F)(F)F)(c1ccc(cc1)C(F)(F)F)c1ccc(cc1)C(F)(F)F)(c1ccc(cc1)C(F)(F)F)c1ccc(cc1)C(F)(F)F)c1ccc(cc1)C(F)(F)F)(F)F" "P1P1P1P1" "https://doi.org/10.1002/anie.202408356"
"9" "RhMan0925-CMP19" "C54H45F14NO4P4RhS2" "-1089" 298 "THF-d8" 1328.8475888 54 1 1 4 "FC(S(=O)(=O)NS(=O)(=O)C(F)(F)F)(F)F.Fc1ccc(cc1)P1(CCP([Rh]21P(CCP2(c1ccc(cc1)F)c1ccc(cc1)F)(c1ccc(cc1)F)c1ccc(cc1)F)(c1ccc(cc1)F)c1ccc(cc1)F)c1ccc(cc1)F" "P1P1P1P1" "https://doi.org/10.1002/anie.202408356"
"10" "RhMan0925-CMP20" "C62H69F6NO4P4RhS2" "-1089" 298 "THF-d8" 1297.1365232 62 1 1 4 "FC(S(=O)(=O)NS(=O)(=O)C(F)(F)F)(F)F.Cc1ccc(cc1)P1(CCP([Rh]21P(CCP2(c1ccc(cc1)C)c1ccc(cc1)C)(c1ccc(cc1)C)c1ccc(cc1)C)(c1ccc(cc1)C)c1ccc(cc1)C)c1ccc(cc1)C" "P1P1P1P1" "https://doi.org/10.1002/anie.202408356"
